Cast Vote Record	Precinct	Payson City Council 1st Choice Payson City Council	Payson City Council 2nd Choice Payson City Council	Payson City Council 3rd Choice Payson City Council	Payson City Council 4th Choice Payson City Council	Payson City Council 5th Choice Payson City Council
59885	PA02	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	undervote	undervote
59886	PA06	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59887	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59888	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59889	PA03	overvote	undervote	undervote	undervote	undervote
59890	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
59891	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
59892	PA05	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59893	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
59894	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59895	PA08	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
59896	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
59897	PA04	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
59898	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON
59899	PA07	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET
59900	PA08	overvote	undervote	undervote	undervote	overvote
59901	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59902	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
59903	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
59904	PA03	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59905	PA07	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	undervote
59906	PA04	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
59907	PA02	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
59908	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59909	PA03	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	undervote	undervote
59910	PA05	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	undervote	undervote
59911	PA08	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
59912	PA03	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	undervote	undervote
59913	PA07	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM
59914	PA01	DOUG WELTON	LINDA CARTER	undervote	undervote	undervote
59915	PA01	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM
59916	PA06	DOUG WELTON	LINDA CARTER	undervote	undervote	undervote
59917	PA06	LINDA CARTER	DOUG WELTON	undervote	undervote	BRIAN V. HULET
59918	PA07	BRIAN V. HULET	undervote	undervote	undervote	undervote
59919	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59920	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59921	PA08	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON
59922	PA07	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59923	PA07	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59924	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote	undervote
59925	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
59926	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote	undervote
59927	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
59928	PA07	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
59929	PA08	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
59930	PA08	BRIAN V. HULET	undervote	undervote	undervote	undervote
59931	PA04	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
59932	PA04	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59933	PA01	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote
59934	PA08	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote
59935	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
59936	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
59937	PA05	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET
59938	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
59939	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59940	PA07	DOUG WELTON	undervote	undervote	undervote	undervote
59941	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59942	PA05	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
59943	PA03	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
59944	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59945	PA03	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER
59946	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
59947	PA03	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
59948	PA01	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
59949	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
59950	PA02	DOUG WELTON	undervote	undervote	undervote	undervote
59951	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59952	PA02	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
59953	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
59954	PA01	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	undervote	undervote
59955	PA05	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59956	PA03	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
59957	PA05	LINDA CARTER	undervote	undervote	undervote	undervote
59958	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59959	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	undervote	undervote
59960	PA03	BRIAN V. HULET	LINDA CARTER	undervote	undervote	undervote
59961	PA02	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote	undervote
59962	PA06	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
59963	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59964	PA01	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
59965	PA01	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
59966	PA02	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	undervote	undervote
59967	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
59968	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
59969	PA02	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
59970	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59971	PA05	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
59972	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59973	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59974	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
59975	PA02	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER
59976	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59977	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59978	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59979	PA02	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
59980	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59981	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59982	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59983	PA03	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
59984	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	overvote
59985	PA01	LINDA CARTER	LINDA CARTER	LINDA CARTER	LINDA CARTER	BRIAN V. HULET
59986	PA02	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
59987	PA04	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59988	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
59989	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
59990	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
59991	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59992	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
59993	PA02	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
59994	PA08	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON
59995	PA08	DOUG WELTON	undervote	undervote	undervote	undervote
59996	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
59997	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
59998	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
59999	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
60000	PA03	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
60001	PA02	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER
60002	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
61405	PA03	overvote	undervote	undervote	undervote	undervote
61406	PA08	overvote	undervote	undervote	undervote	undervote
61407	PA05	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
61408	PA03	SCOTT PINKHAM	DOUG WELTON	overvote	undervote	LINDA CARTER
61409	PA03	BRIAN V. HULET	DOUG WELTON	overvote	undervote	LINDA CARTER
61410	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61411	PA01	BRIAN V. HULET	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
61412	PA07	overvote	undervote	undervote	undervote	undervote
61413	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61414	PA08	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
61415	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61416	PA06	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
61417	PA05	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61418	PA03	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	undervote
61419	PA03	LINDA CARTER	DOUG WELTON	undervote	undervote	undervote
61420	PA07	LINDA CARTER	DOUG WELTON	undervote	undervote	undervote
61421	PA01	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL
61422	PA01	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
61423	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
61424	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
61425	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
61426	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61427	PA04	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
61428	PA01	SCOTT PINKHAM	undervote	undervote	undervote	undervote
61429	PA02	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
61430	PA05	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61431	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote
61432	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
61433	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61434	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61435	PA07	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
61436	PA06	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61437	PA01	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET
61438	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61439	PA02	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
61440	PA07	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61441	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61442	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61443	PA05	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
61444	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
61445	PA04	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
61446	PA01	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	undervote	undervote
61447	PA05	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
61448	PA04	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61449	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61450	PA05	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
61451	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
61452	PA01	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
61453	PA02	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL
61454	PA03	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61455	PA05	LINDA CARTER	DOUG WELTON	undervote	undervote	undervote
61456	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
61457	PA03	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
61458	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
61459	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
61460	PA07	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM
61461	PA02	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL
61462	PA01	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
61463	PA07	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM
61464	PA02	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
61465	PA07	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
61466	PA08	DOUG WELTON	undervote	undervote	undervote	undervote
61467	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61468	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
61469	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
61470	PA08	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	BRIAN V. HULET
61471	PA04	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
61472	PA04	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
61473	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
61474	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61475	PA02	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	SCOTT PINKHAM	undervote
61476	PA05	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
61477	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61478	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
61479	PA07	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote
61480	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61481	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
61482	PA02	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	undervote	undervote
61483	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61484	PA02	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER
61485	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61486	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61487	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61488	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61489	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61490	PA02	DOUG WELTON	undervote	undervote	undervote	undervote
61491	PA02	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
61492	PA03	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET
61493	PA03	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET
61494	PA02	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
61495	PA05	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61496	PA02	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
61497	PA02	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON
61498	PA06	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
61499	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
61500	PA01	DOUG WELTON	undervote	undervote	undervote	undervote
61501	PA02	DOUG WELTON	LINDA CARTER	undervote	undervote	undervote
61502	PA06	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
61503	PA03	DOUG WELTON	LINDA CARTER	undervote	undervote	undervote
61504	PA04	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61505	PA04	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61506	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61507	PA02	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
61508	PA01	SCOTT PINKHAM	undervote	undervote	undervote	undervote
61509	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61510	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
61511	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61512	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
61513	PA05	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61514	PA05	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote
61515	PA04	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote
61516	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
61517	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61518	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
61519	PA04	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
61520	PA06	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
61521	PA01	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
61522	PA08	BRIAN V. HULET	undervote	undervote	undervote	undervote
61523	PA04	DOUG WELTON	undervote	undervote	undervote	undervote
61524	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
61525	PA03	DOUG WELTON	undervote	undervote	undervote	undervote
61526	PA03	DOUG WELTON	undervote	undervote	undervote	undervote
61527	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
61528	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote	undervote
61529	PA01	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote
61530	PA04	CARY KENNETH STOCKWELL	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	DOUG WELTON
61531	PA01	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	undervote	undervote
61532	PA02	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
