Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
58592	VI01	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
58593	VI01	G. TYCE FLAKE	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
58594	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
58595	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
58596	VI01	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote	undervote
58597	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
58598	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58599	VI01	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
58600	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
58601	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
58602	VI01	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
58603	VI01S2	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
58604	VI01S2	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	KEITH KUDER
65239	VI02	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	KEITH KUDER
65240	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
65241	VI02	KEITH KUDER	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE
65242	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
65243	VI01	overvote	overvote	overvote	overvote	overvote	overvote	overvote
65244	VI01	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE
65245	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	KEITH KUDER	undervote	undervote	CRISTY WELSH
65246	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
65247	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65248	VI01	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	CRISTY WELSH
65249	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65250	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
65251	VI01	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
65252	VI01	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS
65253	VI02	CRISTY WELSH	KEITH KUDER	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
65254	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
65255	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65256	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65257	VI01	DAVID LAURET	undervote	undervote	undervote	undervote	undervote	undervote
65258	VI01	KEITH KUDER	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
65259	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65260	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
65261	VI01	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
65262	VI01	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET
65263	VI01	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
65264	VI01	KEITH KUDER	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
65265	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65266	VI02	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
65267	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
65268	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65269	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
65270	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON
65271	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65272	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
65273	VI01	KEITH KUDER	undervote	undervote	undervote	undervote	undervote	undervote
65274	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65275	VI01	KEITH KUDER	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
65276	VI01S	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65277	VI01S	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65278	VI02	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON
65279	VI01	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON
65280	VI01	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER
65281	VI01	KEITH KUDER	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
65282	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65283	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65284	VI02	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65285	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON
65286	VI01	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON
65287	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65288	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65289	VI01	undervote	undervote	undervote	undervote	undervote	undervote	undervote
65290	VI01	KEITH KUDER	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
65291	VI01	CRISTY WELSH	ANTHONY JENKINS	undervote	undervote	undervote	undervote	undervote
65292	VI01	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65293	VI01	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER
65294	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65295	VI01	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65296	VI01	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65297	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote
65298	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	undervote	undervote	undervote	undervote
65299	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	KEITH KUDER	undervote	undervote	undervote
65300	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	undervote
65301	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote	undervote
65302	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65303	VI02	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
65304	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65305	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS
65306	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
65307	VI01	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65308	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote
65309	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
65310	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
65311	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
65312	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
65313	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65314	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
65315	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
65316	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
65317	VI01	CRISTY WELSH	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
65318	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
65319	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote	undervote
65320	VI01	ANTHONY JENKINS	undervote	undervote	undervote	undervote	undervote	undervote
65321	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote
65322	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
65323	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
65324	VI01	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
65325	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	undervote
65326	VI01	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE
65327	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote
65328	VI01	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE
65329	VI01	CRISTY WELSH	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS
65330	VI01	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE
65331	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65332	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65333	VI01	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER
65334	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65335	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
65336	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote
65337	VI02	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
65338	VI01	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE
65339	VI01S	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	undervote	undervote	undervote
65340	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
65341	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65342	VI01	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
65343	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
65344	VI01S	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER
65345	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
65346	VI01	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote	undervote
65347	VI01	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote
65348	VI01S2	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65349	VI01S2	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65350	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
65351	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65352	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	undervote	undervote
65353	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
65354	VI01	ANTHONY JENKINS	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ
65355	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65356	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65357	VI01	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE
65358	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
65359	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET
65360	VI01	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	undervote	undervote	undervote	undervote
65361	VI01S	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote	undervote
65362	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
65363	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON
65364	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
65365	VI01	G. TYCE FLAKE	TAY GUDMUNDSON	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
65366	VI01	KEITH KUDER	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON
65367	VI01	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	undervote	undervote	undervote	undervote
65368	VI01	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE
65369	VI01	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON
65370	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
65371	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote
65372	VI01	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET
65373	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON
65374	VI01	CRISTY WELSH	DAVID LAURET	KEITH KUDER	undervote	undervote	undervote	undervote
65375	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote
65376	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65377	VI01	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON
65378	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65379	VI01	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	undervote	undervote	undervote
65380	VI02	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	KEITH KUDER
65381	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	undervote	undervote	undervote
65382	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
65383	VI01	undervote	undervote	undervote	undervote	undervote	undervote	undervote
65384	VI02	undervote	undervote	undervote	undervote	undervote	undervote	KEITH KUDER
65385	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	KEITH KUDER	undervote	undervote	CRISTY WELSH
65386	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON
65387	VI01	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE
65388	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65389	VI01	KEITH KUDER	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE
65390	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
65391	VI01	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65392	VI01	KEITH KUDER	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE
65393	VI01	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65394	VI01	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
65395	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
65396	VI01	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65397	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	undervote
65398	VI01	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE
65399	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE
65400	VI01	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote	undervote	undervote
65401	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
